CCSDS_OEM_VERS = 2.0
COMMENT Orion Prime updated 2026:04:07 17:30:05 UTC
CREATION_DATE = 2026-04-07T12:47:44
ORIGINATOR = NASA/JSC/FOD/FDO
 
META_START
OBJECT_NAME = EM2
OBJECT_ID = 24
CENTER_NAME = EARTH
REF_FRAME = EME2000
TIME_SYSTEM = UTC
START_TIME = 2026-04-06T17:34:51.667
USEABLE_START_TIME = 2026-04-06T17:34:51.667
USEABLE_STOP_TIME = 2026-04-10T23:53:21.581
STOP_TIME = 2026-04-10T23:53:21.581
META_STOP
 
 
COMMENT 
 
2026-04-06T17:34:51.667 -126104.088022073905 -338372.800320710230 -185361.199386411405 -0.16800848659289 -0.39811043988634 -0.22565692610779
2026-04-06T17:38:51.667 -126144.641425346257 -338468.185023051221 -185415.292302870483 -0.16994283370944 -0.39675752663757 -0.22511570214466
2026-04-06T17:42:51.667 -126185.663639713195 -338563.241702962085 -185469.254101252125 -0.17191539978099 -0.39537672990750 -0.22456420007197
2026-04-06T17:46:51.667 -126227.163949617403 -338657.963529565255 -185523.082259596791 -0.17392712128701 -0.39396688324764 -0.22400195585053
2026-04-06T17:50:51.667 -126269.151867173030 -338752.343385116837 -185576.774141691567 -0.17597895905843 -0.39252676201523 -0.22342848117496
2026-04-06T17:54:51.667 -126311.637138042934 -338846.373850644100 -185630.326991074573 -0.17807189854410 -0.39105508003882 -0.22284326202683
2026-04-06T17:58:51.667 -126354.629747373168 -338940.047190757527 -185683.737924680783 -0.18020695001756 -0.38955048607480 -0.22224575713341
2026-04-06T18:02:51.667 -126398.139925768890 -339033.355337586254 -185737.003926106088 -0.18238514871310 -0.38801156004162 -0.22163539632539
2026-04-06T18:06:51.667 -126442.178155293019 -339126.289873781381 -185790.121838464169 -0.18460755487935 -0.38643680901738 -0.22101157878695
2026-04-06T18:10:51.667 -126486.755175466562 -339218.842014529218 -185843.088356810127 -0.18687525373636 -0.38482466298581 -0.22037367119083
2026-04-06T18:14:51.667 -126531.881989245740 -339311.002588511445 -185895.900020101602 -0.18918935532090 -0.38317347031487 -0.21972100571067
2026-04-06T18:18:51.667 -126577.569868946579 -339402.762017746572 -185948.553202667594 -0.19155099420218 -0.38148149295137 -0.21905287790257
2026-04-06T18:22:51.667 -126623.830362083841 -339494.110296242230 -186001.044105152076 -0.19396132904824 -0.37974690131413 -0.21836854444717
2026-04-06T18:26:51.667 -126670.675297085851 -339585.036967384047 -186053.368744898209 -0.19642154202060 -0.37796776886757 -0.21766722074323
2026-04-06T18:30:51.667 -126718.116788840765 -339675.531099981337 -186105.522945736244 -0.19893283797165 -0.37614206635675 -0.21694807834305
2026-04-06T18:34:51.667 -126766.167244023891 -339765.581262887456 -186157.502327135939 -0.20149644341647 -0.37426765568425 -0.21621024221983
2026-04-06T18:38:51.667 -126814.839366147848 -339855.175498105003 -186209.302292681707 -0.20411360524657 -0.37234228340864 -0.21545278785638
2026-04-06T18:42:51.667 -126864.146160269505 -339944.301292283460 -186260.918017827062 -0.20678558914948 -0.37036357384375 -0.21467473814442
2026-04-06T18:46:51.667 -126914.100937278447 -340032.945546510397 -186312.344436880434 -0.20951367769321 -0.36832902173776 -0.21387506008301
2026-04-06T18:50:51.667 -126964.717317680508 -340121.094544293534 -186363.576229173661 -0.21229916802963 -0.36623598451077 -0.21305266126468
2026-04-06T18:54:51.667 -127016.009234779980 -340208.733917624166 -186414.607804360654 -0.21514336916511 -0.36408167402971 -0.21220638613732
2026-04-06T18:58:51.667 -127067.990937148454 -340295.848611009365 -186465.433286790329 -0.21804759874036 -0.36186314789990 -0.21133501202985
2026-04-06T19:02:51.667 -127120.676990255713 -340382.422843354114 -186516.046498896671 -0.22101317925435 -0.35957730025326 -0.21043724492975
2026-04-06T19:06:51.667 -127174.082277120659 -340468.440067570307 -186566.440943544061 -0.22404143365920 -0.35722085201459 -0.20951171500055
2026-04-06T19:10:51.667 -127228.221997821151 -340553.882927784987 -186616.609785264678 -0.22713368024436 -0.35479034062916 -0.20855697182795
2026-04-06T19:14:51.667 -127283.111667681806 -340638.733214017760 -186666.545830321178 -0.23029122671837 -0.35228210923754 -0.20757147938373
2026-04-06T19:18:51.667 -127338.767113935115 -340722.971814192191 -186716.241505525948 -0.23351536338608 -0.34969229528714 -0.20655361069784
2026-04-06T19:22:51.667 -127395.204470624973 -340806.578663345892 -186765.688835745852 -0.23680735530706 -0.34701681857463 -0.20550164223033
2026-04-06T19:26:51.667 -127452.440171493858 -340889.532689902699 -186814.879420019337 -0.24016843330813 -0.34425136871927 -0.20441374793679
2026-04-06T19:30:51.667 -127510.490940560951 -340971.811758870550 -186863.804406212352 -0.24359978370848 -0.34139139207482 -0.20328799302363
2026-04-06T19:34:51.667 -127569.373780064881 -341053.392611832242 -186912.454464137962 -0.24710253660038 -0.33843207809724 -0.20212232739282
2026-04-06T19:38:51.667 -127629.105955402716 -341134.250803602627 -186960.819757066114 -0.25067775251179 -0.33536834519676 -0.20091457877997
2026-04-06T19:42:51.667 -127689.704976655063 -341214.360635431833 -187008.889911550214 -0.25432640725846 -0.33219482611777 -0.19966244559512
2026-04-06T19:46:51.667 -127751.188576237735 -341293.695084649022 -187056.653985501674 -0.25804937477441 -0.32890585290701 -0.19836348948225
2026-04-06T19:50:51.667 -127813.574682166465 -341372.225730657694 -187104.100434447173 -0.26184740768828 -0.32549544155214 -0.19701512762170
2026-04-06T19:54:51.667 -127876.881386364912 -341449.922677214025 -187151.217075910914 -0.26572111539205 -0.32195727639825 -0.19561462481000
2026-04-06T19:58:51.667 -127941.126907380734 -341526.754470953194 -187197.991051874036 -0.26967093932572 -0.31828469448026 -0.19415908536375
2026-04-06T20:02:51.667 -128006.329546805675 -341602.688016161555 -187244.408789275709 -0.27369712517934 -0.31447066994613 -0.19264544490906
2026-04-06T20:06:51.667 -128072.507638623298 -341677.688485843013 -187290.455958537641 -0.27779969169088 -0.31050779878852 -0.19107046213597
2026-04-06T20:10:51.667 -128139.679490624811 -341751.719229184324 -187336.117430115468 -0.28197839569719 -0.30638828415381 -0.18943071061824
2026-04-06T20:14:51.667 -128207.863316951698 -341824.741675595753 -187381.377229106816 -0.28623269307562 -0.30210392255683 -0.18772257082443
2026-04-06T20:18:51.667 -128277.077160733577 -341896.715235591342 -187426.218487980310 -0.29056169519772 -0.29764609139954 -0.18594222247544
2026-04-06T20:22:51.667 -128347.338805697436 -341967.597198876960 -187470.623397530522 -0.29496412050515 -0.29300573827200 -0.18408563743871
2026-04-06T20:26:51.667 -128418.665675530312 -342037.342630140367 -187514.573156214610 -0.29943824081376 -0.28817337260687 -0.18214857338935
2026-04-06T20:30:51.667 -128491.074719683296 -342105.904263187840 -187558.047918086755 -0.30398182195752 -0.28313906036435 -0.18012656851529
2026-04-06T20:34:51.667 -128564.582284213742 -342173.232394246385 -187601.026739619614 -0.30859205840275 -0.27789242254395 -0.17801493759663
2026-04-06T20:38:51.667 -128639.203966177418 -342239.274775460828 -187643.487525788136 -0.31326550149899 -0.27242263845378 -0.17580876985000
2026-04-06T20:42:51.667 -128714.954450008867 -342303.976509851229 -187685.406975892955 -0.31799798109081 -0.26671845481632 -0.17350292899673
2026-04-06T20:46:51.667 -128791.847324272021 -342367.279949279968 -187726.760529719730 -0.32278452030044 -0.26076820195208 -0.17109205608875
2026-04-06T20:50:51.667 -128869.894877130631 -342429.124597291055 -187767.522314768168 -0.32761924341107 -0.25455981845715 -0.16857057570878
2026-04-06T20:54:51.667 -128949.107868889856 -342489.447019049840 -187807.665095443866 -0.33249527694290 -0.24808088597358 -0.16593270624963
2026-04-06T20:58:51.667 -129029.495280007410 -342548.180761015275 -187847.160225285159 -0.33740464422634 -0.24131867584010 -0.16317247507038
2026-04-06T21:02:51.667 -129111.064033076429 -342605.256283429801 -187885.977603501407 -0.34233815404897 -0.23426020959501 -0.16028373942182
2026-04-06T21:06:51.667 -129193.818687460196 -342660.600909204630 -187924.085637322831 -0.34728528429426 -0.22689233547600 -0.15726021412603
2026-04-06T21:10:51.667 -129277.761105528509 -342714.138793312828 -187961.451211910695 -0.35223406190990 -0.21920182320781 -0.15409550708021
2026-04-06T21:14:51.667 -129362.890089824417 -342765.790917364648 -187998.039669840160 -0.35717094104997 -0.21117547947199 -0.15078316372530
2026-04-06T21:18:51.667 -129449.200991004109 -342815.475114620582 -188033.814802450506 -0.36208068183493 -0.20280028649070 -0.14731672166652
2026-04-06T21:22:51.667 -129536.685287059401 -342863.106131277687 -188068.738855642005 -0.36694623286793 -0.19406356610241 -0.14368977664371
2026-04-06T21:26:51.667 -129625.330135179043 -342908.595730415254 -188102.772552984563 -0.37174862143311 -0.18495317152819 -0.13989606101085
2026-04-06T21:30:51.667 -129715.117898649827 -342951.852845477988 -188135.875139269367 -0.37646685616882 -0.17545770868807 -0.13592953577823
